,BASIN,PCT RI,RI THRESH
12,AL,0.06672961913755115,20
24,AL,0.07137784090909091,30
36,AL,0.04981920449979912,45
48,AL,0.048880767473732295,55
72,AL,0.052884615384615384,65
12,CP,0.06060606060606061,20
24,CP,0.07547169811320754,30
36,CP,0.05128205128205128,45
48,CP,0.03910614525139665,55
72,CP,0.047619047619047616,65
12,EP,0.09170068027210884,20
24,EP,0.11519456454601606,30
36,EP,0.08943661971830986,45
48,EP,0.0785024154589372,55
72,EP,0.06319702602230483,65
